통합_컬러_스타일명,통합코드,통합_컬러코드,리오더W,납기요청,리오더총량,W+1,W+2,W+3
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5119,625,04월 24일,2438,838,800,800
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5159,392,04월 24일,1534,534,500,500
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5110,409,04월 24일,1441,541,500,400
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5116,265,04월 24일,1137,437,400,300
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5150,21,,80,,,
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5162,0,,0,,,
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0110,5366,04월 24일,19911,3000,2000,3000
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0119,1737,04월 24일,6445,1500,1500,1000
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G01AC,1393,04월 24일,5174,500,300,200
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0199,254,05월 08일,961,0,0,961
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0159,225,05월 08일,850,0,0,850
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0131,104,05월 08일,388,0,0,388
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0150,0,,0,,,
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0126,0,,0,,,
